user_id,device,country,campaign_name,channel,signup_date,first_purchase_date,total_purchases,lifetime_value,customer_segment
1,mobile,Canada,Email Newsletter,Email,2025-07-29,,0,0.0,Non-Purchaser
2,mobile,USA,Google Search - Brand,Google Ads,2025-12-31,,0,0.0,Non-Purchaser
3,mobile,USA,Google Search - Generic,Google Ads,2025-09-19,,0,0.0,Non-Purchaser
4,desktop,Canada,Google Search - Generic,Google Ads,2025-08-25,,0,0.0,Non-Purchaser
5,mobile,UK,Organic Search,Organic,2025-07-11,2025-07-30,2,284.09,Repeat Customer
6,desktop,Canada,Organic Search,Organic,2025-07-11,,0,0.0,Non-Purchaser
7,mobile,Australia,Organic Search,Organic,2025-07-04,2025-08-18,1,45.65,One-time Buyer
8,desktop,USA,Google Search - Brand,Google Ads,2025-10-31,,0,0.0,Non-Purchaser
9,desktop,Canada,Facebook Ads - Retargeting,Facebook,2025-08-26,2025-09-04,1,386.36,One-time Buyer
10,desktop,USA,Google Search - Brand,Google Ads,2025-09-14,,0,0.0,Non-Purchaser
11,desktop,USA,Google Search - Generic,Google Ads,2025-07-02,2025-07-03,1,60.84,One-time Buyer
12,desktop,USA,Instagram Influencer,Instagram,2025-12-31,,0,0.0,Non-Purchaser
13,desktop,USA,Google Search - Brand,Google Ads,2025-10-17,,0,0.0,Non-Purchaser
14,mobile,USA,Google Search - Generic,Google Ads,2025-07-15,,0,0.0,Non-Purchaser
15,mobile,USA,Email Newsletter,Email,2025-07-13,,0,0.0,Non-Purchaser
16,mobile,India,Instagram Influencer,Instagram,2025-07-13,,0,0.0,Non-Purchaser
17,mobile,Canada,Google Search - Generic,Google Ads,2025-07-23,,0,0.0,Non-Purchaser
18,mobile,Australia,Email Newsletter,Email,2025-08-15,,0,0.0,Non-Purchaser
19,mobile,UK,Organic Search,Organic,2025-08-04,2025-08-04,1,346.97,One-time Buyer
20,mobile,USA,Google Search - Brand,Google Ads,2025-07-21,,0,0.0,Non-Purchaser
21,mobile,USA,Organic Search,Organic,2025-08-27,,0,0.0,Non-Purchaser
22,mobile,USA,Organic Search,Organic,2025-07-10,,0,0.0,Non-Purchaser
23,desktop,USA,Google Search - Generic,Google Ads,2025-07-22,2025-07-23,1,37.38,One-time Buyer
24,mobile,Canada,Google Search - Generic,Google Ads,2025-07-28,,0,0.0,Non-Purchaser
25,desktop,UK,YouTube Ads,YouTube,2025-08-07,,0,0.0,Non-Purchaser
26,mobile,USA,Google Search - Generic,Google Ads,2025-10-02,,0,0.0,Non-Purchaser
27,desktop,USA,Google Search - Brand,Google Ads,2025-07-14,2025-07-16,2,300.56,Repeat Customer
28,desktop,USA,Google Search - Brand,Google Ads,2025-08-14,,0,0.0,Non-Purchaser
29,desktop,USA,Organic Search,Organic,2025-08-24,2025-09-09,1,47.55,One-time Buyer
30,desktop,USA,Email Newsletter,Email,2025-07-03,2025-07-22,1,404.03,One-time Buyer
31,mobile,Canada,Organic Search,Organic,2025-08-27,2025-08-30,2,756.29,Repeat Customer
32,tablet,USA,Organic Search,Organic,2025-07-12,,0,0.0,Non-Purchaser
33,desktop,Canada,Instagram Influencer,Instagram,2025-07-05,2025-07-05,2,154.08,Repeat Customer
34,desktop,USA,YouTube Ads,YouTube,2025-12-29,,0,0.0,Non-Purchaser
35,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-12-31,,0,0.0,Non-Purchaser
36,mobile,India,Email Newsletter,Email,2025-10-09,,0,0.0,Non-Purchaser
37,desktop,UK,Organic Search,Organic,2025-07-23,2025-07-26,1,316.05,One-time Buyer
38,mobile,USA,Email Newsletter,Email,2025-07-07,,0,0.0,Non-Purchaser
39,mobile,India,Organic Search,Organic,2025-09-09,,0,0.0,Non-Purchaser
40,mobile,USA,Email Newsletter,Email,2025-08-05,2025-08-25,1,18.59,One-time Buyer
41,desktop,USA,Organic Search,Organic,2025-07-08,,0,0.0,Non-Purchaser
42,mobile,Canada,Google Search - Brand,Google Ads,2025-08-11,,0,0.0,Non-Purchaser
43,mobile,Canada,Google Search - Generic,Google Ads,2025-07-03,2025-07-04,1,262.55,One-time Buyer
44,mobile,USA,Google Search - Generic,Google Ads,2025-11-24,,0,0.0,Non-Purchaser
45,desktop,USA,Google Search - Brand,Google Ads,2025-07-19,,0,0.0,Non-Purchaser
46,desktop,India,Google Search - Generic,Google Ads,2025-09-05,,0,0.0,Non-Purchaser
47,mobile,USA,Google Search - Brand,Google Ads,2025-07-23,2025-08-02,2,211.79,Repeat Customer
48,mobile,USA,Google Search - Generic,Google Ads,2025-08-14,,0,0.0,Non-Purchaser
49,desktop,UK,Email Newsletter,Email,2025-08-18,,0,0.0,Non-Purchaser
50,tablet,India,Facebook Ads - Retargeting,Facebook,2025-07-13,2025-07-18,1,492.46,One-time Buyer
51,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-12-31,,0,0.0,Non-Purchaser
52,mobile,Canada,Google Search - Generic,Google Ads,2025-09-30,,0,0.0,Non-Purchaser
53,desktop,UK,Google Search - Generic,Google Ads,2025-12-19,,0,0.0,Non-Purchaser
54,mobile,USA,Direct Traffic,Direct,2025-11-15,2025-11-26,1,15.1,One-time Buyer
